,Ingredient,Pre,NER+Post,NER-Amount,Normalization,Def,Freq
1099,1 litro di brodo,1 litro di brodo,brodo,1 litro,brodo,brodo,215
1100,60 gr di tartufo nero,60 gr di tartufo nero,tartufo nero,60 gr,tartufo nero,tartufo nero,44
1101,50 gr di salsiccia,50 gr di salsiccia,salsiccia,50 gr,salsiccia,salsiccia,225
1102,50 gr di olio extravergine d'oliva,50 gr di olio extravergine d'oliva,olio extravergine d'oliva,50 gr,olio extravergine d'oliva,olio extravergine d'oliva,4337
1103,600 gr di coda di rospo,600 gr di coda di rospo,coda di rospo,600 gr,coda di rospo,coda di rospo,28
1104,12 gamberi,12 gamberi,gamberi,12,gamberi,gamberi,194
1105,1 kg di zucchine con fiori,1 kg di zucchine con fiori,zucchine,1 kg,zucchine,zucchine,654
1106,30 gr di lardo,30 gr di lardo,lardo,30 gr,lardo,lardo,114
1107,concentrato di pomodoro,concentrato di pomodoro,concentrato di pomodoro,,concentrato di pomodoro,concentrato di pomodoro,192
1108,350 gr di riso carnairoli,350 gr di riso carnairoli,riso carnairoli,350 gr,riso,riso carnaroli,233
1109,700 gr di scampi,700 gr di scampi,scampi,700 gr,scampi,scampi,60
1110,2 cucchiai di passata di pomodoro,2 cucchiai di passata di pomodoro,passata di pomodoro,2 cucchiai,passata di pomodoro,passata di pomodoro,374
1111,8 melanzane lunghe,8 melanzane lunghe,melanzane lunghe,8,melanzane lunghe,melanzane lunghe,18
1112,100 gr di provola,100 gr di provola,provola,100 gr,provola,provola,62
1113,50 gr di pecorino,50 gr di pecorino,pecorino,50 gr,pecorino,pecorino,519
1114,1 salsiccia piccante,1 salsiccia piccante,salsiccia piccante,1,salsiccia,salsiccia,225
1115,passata di pomodoro,passata di pomodoro,passata di pomodoro,,passata di pomodoro,passata di pomodoro,374
1116,250 gr di prosciutto,250 gr di prosciutto,prosciutto,250 gr,prosciutto,prosciutto,22
1117,250 gr di fontina,250 gr di fontina,fontina,250 gr,fontina,fontina,155
1118,"1 coniglio di circa 1,2 kg",1 coniglio,coniglio,1,coniglio,carne di coniglio,65
1119,30 g di lardo,30 g di lardo,lardo,30 g,lardo,lardo,114
1120,3 foglie di salvia,3 foglie di salvia,salvia,3 foglie,salvia,salvia,484
1121,4 spicchio d’aglio,4 spicchio d’aglio,,4 spicchio,,,
1122,1/2 l aceto di vino rosso,1/2 l aceto di vino rosso,aceto di vino rosso,1/2 l,aceto di vino rosso,aceto,528
1123,1/2 l d'acqua,1/2 l d'acqua,d'acqua,1/2 l,d'acqua,acqua,1976
1124,fegato del coniglio,fegato del coniglio,fegato del coniglio,,fegato,fegato,4
1125,2 fette spesse di salame,2 fette spesse di salame,salame,2 fette,salame,salame,59
1126,4 cucchiai di olio  extravergine d'oliva,4 cucchiai di olio  extravergine d'oliva,olio extravergine d'oliva,4 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
1127,4 nodini di maiale,4 nodini di maiale,nodini di maiale,4,nodini di maiale,carne di suino,202
1128,400 gr di pane raffermo,400 gr di pane raffermo,pane raffermo,400 gr,pane raffermo,pane raffermo,106
1129,50 gr di pancetta dolce,50 gr di pancetta dolce,pancetta dolce,50 gr,pancetta dolce,pancetta dolce,22
1130,50 gr di pancetta affumicata affumicata,50 gr di pancetta affumicata affumicata,pancetta affumicata affumicata,50 gr,pancetta,pancetta affumicata,155
1131,100 gr di prosciutto cotto,100 gr di prosciutto cotto,prosciutto cotto,100 gr,prosciutto cotto,prosciutto cotto,324
1132,200 gr di fettuccine,200 gr di fettuccine,fettuccine,200 gr,fettuccine all'uovo,fettuccine all'uovo,23
1133,200 gr di ceci,200 gr di ceci,ceci,200 gr,ceci,ceci secchi,72
1134,200 gr di farina 00,200 gr di farina 00,farina,200 gr,farina,farina,2121
1135,50 gr di zucchero,50 gr di zucchero,zucchero,50 gr,zucchero,zucchero,4949
1136,1 bustina di zucchero a velo,1 bustina di zucchero,zucchero,1 bustina,zucchero,zucchero,4949
1137,1/2 bustina di lievito vanigliato,1/2 bustina di lievito vanigliato,lievito vanigliato,1/2 bustina,lievito vanigliato,lievito vanigliato,67
1138,800 gr di erbette,800 gr di erbette,erbette,800 gr,erbette,erbette,30
1139,200 gr di ricotta,200 gr di ricotta,ricotta,200 gr,ricotta,ricotta,324
1140,350 gr di farina di mais,350 gr di farina di mais,farina di mais,350 gr,farina di mais,farina di mais,144
1141,100 ml di panna da cucina,100 ml di panna da cucina,panna da cucina,100 ml,panna,panna fresca,1860
1142,280 gr di formaggio fresco di tipo carnia o vivaro,280 gr di formaggio fresco di tipo carnia,formaggio fresco,280 gr,formaggio fresco,formaggio fresco,38
1143,"1,5 kg di abbacchio fatto a pezzi","1,5 kg di abbacchio fatto",abbacchio fatto,"1,5 kg",abbacchio fatto,abbacchio,4
1144,1/2 bicchiere di aceto,1/2 bicchiere di aceto,aceto,1/2 bicchiere,aceto,aceto,528
1145,"1 oca da circa 1,2 kg","1 oca da circa 1,2 kg",oca,1,oca,oca,6
1146,300 ml di latte,300 ml di latte,latte,300 ml,latte,latte,2242
1147,1 tazza di pangrattato,1 tazza di pangrattato,pangrattato,1 tazza,pangrattato,pangrattato,834
1148,6 cucchiai di olio extravergine d'oliva,6 cucchiai di olio extravergine d'oliva,olio extravergine d'oliva,6 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
1149,500 gr di pelati,500 gr di pelati,pelati,500 gr,pelati,pomodori pelati,196
1150,4 fette di petto di tacchino,4 fette di petto di tacchino,petto di tacchino,4 fette,petto di tacchino,carne di tacchino,43
1151,tartufo bianco,tartufo bianco,tartufo bianco,,tartufo bianco,tartufo bianco,13
1152,2 cucchiai di marsala,2 cucchiai di marsala,marsala,2 cucchiai,marsala,marsala,121
1153,"1 faraona da 1,2 kg, già pulita","1 faraona da 1,2 kg,",faraona,1,faraona,faraona,16
1154,1 bottiglia di birra doppio malto da 33 cl,1 bottiglia di birra doppio malto da 33 cl,birra doppio malto,1 bottiglia,birra,birra,103
1155,6 foglie di salvia,6 foglie di salvia,salvia,6 foglie,salvia,salvia,484
1156,1 ciuffetto di timo,1 ciuffetto di timo,timo,1,timo,timo,874
1157,6 cucchiai di olio extravergine di oliva,6 cucchiai di olio extravergine di oliva,olio extravergine di oliva,6 cucchiai,olio extravergine di oliva,olio extravergine d'oliva,4337
1158,1 kg di cicoria,1 kg di cicoria,cicoria,1 kg,cicoria,cicoria,37
1159,1 kg di calamari,1 kg di calamari,calamari,1 kg,calamari,calamari,102
1160,pepe rosso macinato,pepe rosso macinato,pepe rosso macinato,,pepe,pepe,5844
1161,6 cucchiai di olio extravergine d’oliva,6 cucchiai di olio extravergine d’oliva,olio extravergine d'oliva,6 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
1162,"600 g di prosciutto di praga, in un solo pezzo","600 g di prosciutto di praga,",prosciutto di praga,600 g,prosciutto di praga,prosciutto cotto,324
1163,700 g di farina,700 g di farina,farina,700 g,farina,farina,2121
1164,35 g di lievito di birra,35 g di lievito di birra,lievito di birra,35 g,lievito di birra,lievito di birra,364
1165,3 foglie di alloro,3 foglie di alloro,alloro,3 foglie,alloro,alloro,451
1166,un cucchiaino di zucchero,un cucchiaino di zucchero,zucchero,un cucchiaino,zucchero,zucchero,4949
1167,1 cucchiaio di olio extravergine d'oliva,1 cucchiaio di olio extravergine d'oliva,olio extravergine d'oliva,1 cucchiaio,olio extravergine d'oliva,olio extravergine d'oliva,4337
1168,80 gr di strutto,80 gr di strutto,strutto,80 gr,strutto,strutto,134
1169,1/2 limone,1/2 limone,limone,1/2,limone,limone,1394
1170,250 gr di tritato di maiale,250 gr di tritato di maiale,macinato di maiale,250 gr,macinato di vitello,macinato di suino,21
1171,250 gr di tritato di vitello,250 gr di tritato di vitello,macinato di vitello,250 gr,macinato di vitello,macinato di bovino,51
1172,100 gr di mandorle,100 gr di mandorle,mandorle,100 gr,mandorle,mandorle,415
1173,2 cucchiai di vino cotto,2 cucchiai di vino cotto,vino cotto,2 cucchiai,vino,vino cotto,7
1174,formaggio pecorino grattugiato,formaggio pecorino grattugiato,formaggio pecorino,,pecorino,pecorino,519
1175,120 gr di zucchero semolato,120 gr di zucchero semolato,zucchero semolato,120 gr,zucchero semolato,zucchero,4949
1176,cannella in polvere,cannella,cannella,,cannella,cannella,499
1177,10 carciofi,10 carciofi,carciofi,10,carciofi,carciofi,222
1178,150 gr di funghi freschi,150 gr di funghi freschi,funghi,150 gr,funghi,funghi,48
1179,30 gr di pangrattato,30 gr di pangrattato,pangrattato,30 gr,pangrattato,pangrattato,834
1180,60 gr di pecorino grattugiato,60 gr di pecorino grattugiato,pecorino,60 gr,pecorino,pecorino,519
1181,4 cucchiai di olio extra vergine d'oliva,4 cucchiai di olio extra vergine d'oliva,olio extra vergine d'oliva,4 cucchiai,olio,olio extravergine d'oliva,4337
1182,1/2 kg di cipolline,1/2 kg di cipolline,cipolline,1/2 kg,cipolline,cipolle borettane,103
1183,50 g di grasso di prosciutto,50 g di grasso di prosciutto,grasso di prosciutto,50 g,grasso di prosciutto,grasso di prosciutto,8
1184,2 salsicce,2 salsicce,salsicce,2,salsicce,salsiccia,225
1185,150 g di farina manitoba,150 g di farina manitoba,farina manitoba,150 g,farina manitoba,farina manitoba,233
1186,20 g di lievito di birra,20 g di lievito di birra,lievito di birra,20 g,lievito di birra,lievito di birra,364
1187,50 g di semi di finocchio,50 g di semi di finocchio,semi di finocchio,50 g,semi di finocchio,semi di finocchio,76
1188,50 g di fecola di patate,50 g di fecola di patate,fecola di patate,50 g,fecola di patate,fecola di patate,233
1189,70 g di farina 00,70 g di farina 00,farina,70 g,farina,farina,2121
1190,200 g di zucchero a velo,200 g di zucchero,zucchero,200 g,zucchero,zucchero,4949
1191,1 bustina di vannillina,1 bustina di vannillina,vannillina,1 bustina,vannillina,vanillina,53
1192,1 cucchiaino di miele,1 cucchiaino di miele,miele,1 cucchiaino,miele,miele,335
1193,125 g di zucchero semolato,125 g di zucchero semolato,zucchero semolato,125 g,zucchero semolato,zucchero,4949
1194,250 g di ricotta,250 g di ricotta,ricotta,250 g,ricotta,ricotta,324
1195,50 g di cioccolato fondente,50 g di cioccolato fondente,cioccolato fondente,50 g,cioccolato fondente,cioccolato fondente,833
1196,50 g di cedro candito,50 g di cedro candito,cedro candito,50 g,cedro candito,cedro candito,34
1197,800 gr di tonno a fette,800 gr di tonno,tonno,800 gr,tonno,tonno,101
1198,pomodori,pomodori,pomodori,,pomodori,pomodori,634
1199,250 gr di fagioli,250 gr di fagioli,fagioli,250 gr,fagioli,fagioli,87
1200,150 gr di orzo perlato,150 gr di orzo perlato,orzo perlato,150 gr,orzo perlato,orzo perlato,37
1201,150 gr di cotica di maiale,150 gr di cotica di maiale,cotica di maiale,150 gr,cotica di maiale,cotenna di suino,25
1202,400 gr di farina,400 gr di farina,farina,400 gr,farina,farina,2121
1203,400 gr di funghi porcini,400 gr di funghi porcini,funghi porcini,400 gr,funghi porcini,funghi porcini,107
1204,olioextravergine d'oliva,olioextravergine d'oliva,olioextravergine d'oliva,,olioextravergine d'oliva,olio extravergine d'oliva,4337
1205,180 gr di farina,180 gr di farina,farina,180 gr,farina,farina,2121
1206,300 gr di noci sgusciate,300 gr di noci sgusciate,noci,300 gr,noci,noci,222
1207,400 gr di miele,400 gr di miele,miele,400 gr,miele,miele,335
1208,400 gr di rigatoni,400 gr di rigatoni,rigatoni,400 gr,rigatoni,rigatoni,59
1209,600 gr di pagliata di vitello,600 gr di pagliata di vitello,vitello,600 gr,vitello,carne di bovino,492
1210,50 gr di strutto,50 gr di strutto,strutto,50 gr,strutto,strutto,134
1211,500 gr di pomodori pelati,500 gr di pomodori pelati,pomodori pelati,500 gr,pomodori pelati,pomodori pelati,196
1212,parmiggiano grattugiato,parmiggiano grattugiato,parmiggiano,,parmiggiano,parmigiano reggiano dop,1291
1213,300 g di pane raffermo,300 g di pane raffermo,pane raffermo,300 g,pane raffermo,pane raffermo,106
1214,60 g di parmigiano grattugiato,60 g di parmigiano grattugiato,parmigiano,60 g,parmigiano,parmigiano reggiano dop,1291
1215,1 kg di porri,1 kg di porri,porri,1 kg,porri,porri,299
1216,250 gr di panna,250 gr di panna,panna,250 gr,panna,panna fresca,1860
1217,formaggio montasio stagionato,formaggio montasio stagionato,formaggio montasio stagionato,,formaggio,montasio,25
1218,1 kg di castrato,1 kg di castrato,castrato,1 kg,castrato,castrato,4
1219,3 pomodori,3 pomodori,pomodori,3,pomodori,pomodori,634
1220,1 bicchere di vino rosso,1 bicchere di vino rosso,vino rosso,1 bicchere,vino rosso,vino rosso,219
1221,500 g di farina 00,500 g di farina 00,farina,500 g,farina,farina,2121
1222,180 g di burro,180 g di burro,burro,180 g,burro,burro,4606
1223,500 gr di gnocchi,500 gr di gnocchi,gnocchi,500 gr,gnocchi di patate,gnocchi di patate,22
1224,200 gr di pomodori pelati,200 gr di pomodori pelati,pomodori pelati,200 gr,pomodori pelati,pomodori pelati,196
1225,100 g di carne macinata,100 g di carne macinata,carne macinata,100 g,carne macinata,macinato,13
1226,200 g di mozzarella,200 g di mozzarella,mozzarella,200 g,mozzarella,mozzarella,264
1227,4 cucchiai di parmigiano grattugiato,4 cucchiai di parmigiano grattugiato,parmigiano,4 cucchiai,parmigiano,parmigiano reggiano dop,1291
1228,2 dadi per brodo,2 dadi,dadi,2,dadi,dado,18
1229,1 litro d'acqua,1 litro d'acqua,d'acqua,1 litro,d'acqua,acqua,1976
1230,10 foglie di cavolo cappuccio o verza,10 foglie di cavolo cappuccio,cavolo cappuccio,10 foglie,cavolo cappuccio,cavolo cappuccio,44
1231,120 g di ciccioli,120 g di ciccioli,ciccioli,120 g,ciccioli,ciccioli,4
1232,60 g di lardo,60 g di lardo,lardo,60 g,lardo,lardo,114
1233,1 kg di fagiolini,1 kg di fagiolini,fagiolini,1 kg,fagiolini,fagiolini,153
1234,4 acciughe salate,4 acciughe salate,acciughe salate,4,acciughe salate,acciughe,403
1235,5 cucchiai di olio extra vergine di oliva,5 cucchiai di olio extra vergine di oliva,olio extra vergine di oliva,5 cucchiai,olio,olio extravergine d'oliva,4337
1236,1kg di farina,1kg di farina,farina,1 kg,farina,farina,2121
1237,1 bicchiere di acqua,1 bicchiere di acqua,acqua,1 bicchiere,acqua,acqua,1976
1238,500 g di alici,500 g di alici,alici,500 g,alici,alici,44
1239,250 gr di pasta mista,250 gr di pasta mista,pasta mista,250 gr,pasta,pasta,78
1240,1/2 kg di fave fresche,1/2 kg di fave fresche,fave,1/2 kg,fave,fave,103
1241,250 gr pancetta affumicata,250 gr pancetta affumicata,pancetta affumicata,250 gr,pancetta affumicata,pancetta affumicata,155
1242,3 cipolline novelle,3 cipolline novelle,cipolline,3,cipolline,cipolle borettane,103
1243,4 spicchi d’aglio,4 spicchi d’aglio,,4 spicchi,,,
1244,1 kg di trippa,1 kg di trippa,trippa,1 kg,trippa,trippa,21
1245,400 gr di pomodori pelati,400 gr di pomodori pelati,pomodori pelati,400 gr,pomodori pelati,pomodori pelati,196
1246,"1 orata o branzino da 1,6 kg circa",1 orata,orata,1,orata,orata,23
1247,4 pomodori maturi,4 pomodori maturi,pomodori,4,pomodori,pomodori,634
1248,4 spicchi di aglio,4 spicchi di aglio,aglio,4 spicchi,aglio,aglio,2572
1249,800 gr di cardi,800 gr di cardi,cardi,800 gr,cardi,cardi,19
1250,1/2 kg. di farina di grano duro,1/2 kg. di farina di grano duro,farina di grano duro,1/2 kg .,farina di grano duro,farina,2121
1251,3 rossi d'uovo,3 rossi d'uovo,tuorli d'uova,3,tuorli,tuorli,1385
1252,sugo di carne (tocco alla genovese),sugo di carne,sugo di carne,,sugo di pomodoro,sugo di carne,5
1253,2 zucchine,2 zucchine,zucchine,2,zucchine,zucchine,654
1254,4 pomodori,4 pomodori,pomodori,4,pomodori,pomodori,634
1255,150 g di parmigiano reggiano grattugiato,150 g di parmigiano reggiano grattugiato,parmigiano reggiano,150 g,parmigiano reggiano,parmigiano reggiano dop,1291
1256,1/2 cucchiaino di noce moscata grattugiata,1/2 cucchiaino di noce moscata grattugiata,noce moscata,1/2 cucchiaino,noce moscata,noce moscata,356
1257,500 g di punta di petto di bufalo,500 g di punta di petto di bufalo,petto di bufalo,500 g,petto d'anatra,carne,44
1258,1 l di brodo di carne,1 l di brodo di carne,brodo di carne,1 l,brodo di carne,brodo di carne,219
1259,100 g di piselli,100 g di piselli,piselli,100 g,piselli,piselli,302
1260,3 zucchine,3 zucchine,zucchine,3,zucchine,zucchine,654
1261,2 tuorli d’uovo,2 tuorli d’uovo,tuorli,2,tuorli,tuorli,1385
1262,800 gr di gamberi d'acqua dolce,800 gr di gamberi d'acqua dolce,gamberi d'acqua dolce,800 gr,gamberi,gamberi,194
1263,1 rametto di maggiorana,1 rametto di maggiorana,maggiorana,1 rametto,maggiorana,maggiorana,288
1264,1 pizzico di paprica,1 pizzico di paprica,paprica,1 pizzico,paprica,paprika,272
1265,400 g di cipolline bianche,400 g di cipolline bianche,cipolline bianche,400 g,cipolline,cipolle borettane,103
1266,4 cucciai di aceto di vino bianco,4 cucciai di aceto di vino bianco,aceto di vino bianco,4 cucciai,aceto di vino bianco,aceto,528
1267,1 cucchiaio di zenzero,1 cucchiaio di zenzero,zenzero,1 cucchiaio,zenzero,zenzero,285
1268,60 g di cioccolato fondente,60 g di cioccolato fondente,cioccolato fondente,60 g,cioccolato fondente,cioccolato fondente,833
1269,100 g di biscotti,100 g di biscotti,biscotti,100 g,biscotti,biscotti,84
1270,30 g di mandorle pelate,30 g di mandorle pelate,mandorle pelate,30 g,mandorle pelate,mandorle pelate,146
1271,40 g di cacao amaro,40 g di cacao amaro,cacao amaro,40 g,cacao amaro,cacao amaro,524
1272,1 cucchiaio di rum,1 cucchiaio di rum,rum,1 cucchiaio,rum,rum,218
1273,1 litro di latte,1 litro di latte,latte,1 litro,latte,latte,2242
1274,70 g di zucchero,70 g di zucchero,zucchero,70 g,zucchero,zucchero,4949
1275,70 g di pistacchi al naturale,70 g di pistacchi al naturale,pistacchi al naturale,70 g,pistacchi al naturale,pistacchi,193
1276,700 g di castagne gabbiana,700 g di castagne gabbiana,castagne gabbiana,700 g,castagne,castagne,56
1277,zucchero semolato quanto basta,zucchero semolato quanto basta,zucchero semolato,,zucchero semolato,zucchero,4949
1278,50 g di uvetta sultanina,50 g di uvetta sultanina,uvetta sultanina,50 g,uvetta sultanina,uva passa,87
1279,1 bustina di vanillina,1 bustina di vanillina,vanillina,1 bustina,vanillina,vanillina,53
1280,1 bicchierino di rum,1 bicchierino di rum,rum,1 bicchierino,rum,rum,218
1281,350 gr di farina,350 gr di farina,farina,350 gr,farina,farina,2121
1282,600 gr di borragine,600 gr di borragine,borragine,600 gr,borragine,borragine,9
1283,150 gr di ricotta,150 gr di ricotta,ricotta,150 gr,ricotta,ricotta,324
1284,salsa di noci,salsa di noci,salsa di noci,,salsa,noci,222
1285,4 stinchi di maiale,4 stinchi di maiale,stinchi di maiale,4,stinchi di maiale,stinco di maiale,6
1286,2 stecche di cannella,2 stecche di cannella,cannella,2 stecche,cannella,cannella,499
1287,2 spicchio d'aglio,2 spicchio d'aglio,aglio,2 spicchio,aglio,aglio,2572
1288,"1,2 kg di zucca gialla","1,2 kg di zucca gialla",zucca gialla,"1,2 kg",zucca gialla,zucca gialla,20
1289,200 g di parmigiano reggiano grattugiato,200 g di parmigiano reggiano grattugiato,parmigiano reggiano,200 g,parmigiano reggiano,parmigiano reggiano dop,1291
1290,uva passa,uva passa,uva passa,,uva passa,uva passa,87
1291,pinoli,pinoli,pinoli,,pinoli,pinoli,392
1292,1 kg di bietole,1 kg di bietole,bietole,1 kg,bietole,biete,64
1293,1 kg di farina 00,1 kg di farina 00,farina,1 kg,farina,farina,2121
1294,50 g di riso,50 g di riso,riso,50 g,riso,riso,289
1295,50 g di pecorino grattugiato,50 g di pecorino grattugiato,pecorino,50 g,pecorino,pecorino,519
1296,4 foglie di maggiorana (o ½ cucchiaino di maggiorana liofilizzata),4 foglie di maggiorana,maggiorana,4 foglie,maggiorana,maggiorana,288
1297,2 bicchieri di olio extravergine d'oliva,2 bicchieri di olio extravergine d'oliva,olio extravergine d'oliva,2 bicchieri,olio extravergine d'oliva,olio extravergine d'oliva,4337
1298,500g di farina di grano duro,500g di farina di grano duro,farina di grano duro,500 g,farina di grano duro,farina,2121
1299,500g di crescenza o stracchino,500g di crescenza,crescenza,500 g,crescenza,crescenza,19
1300,40 gr di pangrattato,40 gr di pangrattato,pangrattato,40 gr,pangrattato,pangrattato,834
1301,4 arance,4 arance,arance,4,arance,arance,358
1302,1 kg di anguille,1 kg di anguille,anguille,1 kg,anguille,anguille,9
1303,300 gr di cipolle,300 gr di cipolle,cipolle,300 gr,cipolle,cipolla,1415
1304,2 kg di asparagi,2 kg di asparagi,asparagi,2 kg,asparagi,asparagi,192
1305,40 gr di parmigiano,40 gr di parmigiano,parmigiano,40 gr,parmigiano,parmigiano reggiano dop,1291
1306,100 gr di guanciale,100 gr di guanciale,guanciale,100 gr,guanciale,guanciale,54
1307,pastina all'uovo,pastina all'uovo,pastina all'uovo,,pastina,pastina,3
1308,"1,5 l di brodo di carne","1,5 l di brodo di carne",brodo di carne,"1,5 l",brodo di carne,brodo di carne,219
1309,olio extra vergine di oliva,olio extra vergine di oliva,olio extra vergine di oliva,,olio,olio extravergine d'oliva,4337
1310,600 g di patate farinose,600 g di patate farinose,patate,600 g,patate,patate,1000
1311,1 piccola cipolla,1 piccola cipolla,cipolla,1,cipolla,cipolla,1415
1312,1 dl di vino bianco sevcco,1 dl di vino bianco sevcco,vino bianco sevcco,1 dl,vino,vino bianco,1177
1313,2 porcini piccoli (o 30 g di funghi secchi),2 porcini piccoli,porcini,2,porcini,funghi porcini,107
1314,40 g di parmigiano grattugiato,40 g di parmigiano grattugiato,parmigiano,40 g,parmigiano,parmigiano reggiano dop,1291
1315,1 kg di melanzane,1 kg di melanzane,melanzane,1 kg,melanzane,melanzane,295
1316,2 uova sode,2 uova sode,uova,2,uova,uova,3872
1317,50 gr di mozzarella,50 gr di mozzarella,mozzarella,50 gr,mozzarella,mozzarella,264
1318,150 gr di salsa di pomodoro,150 gr di salsa di pomodoro,salsa di pomodoro,150 gr,salsa di pomodoro,salsa di pomodoro,90
1319,200 gr di cipolla,200 gr di cipolla,cipolla,200 gr,cipolla,cipolla,1415
1320,200 gr di parmigiano grattugiato,200 gr di parmigiano grattugiato,parmigiano,200 gr,parmigiano,parmigiano reggiano dop,1291
1321,basilico fresco,basilico fresco,basilico,,basilico,basilico,944
1322,plio extravergine d'oliva,plio extravergine d'oliva,plio extravergine d'oliva,,plio extravergine d'oliva,olio extravergine d'oliva,4337
1323,2 bicchieri di vino,2 bicchieri di vino,vino,2 bicchieri,vino,vino,43
1324,500g di pomodori maturi,500g di pomodori maturi,pomodori,500 g,pomodori,pomodori,634
1325,6 cipolle,6 cipolle,cipolle,6,cipolle,cipolla,1415
1326,30g di pecorino grattugiato,30g di pecorino grattugiato,pecorino,30 g,pecorino,pecorino,519
1327,60g di mollica di pane,60g di mollica di pane,mollica di pane,60 g,mollica di pane,mollica di pane,98
1328,200 gr di guanciale,200 gr di guanciale,guanciale,200 gr,guanciale,guanciale,54
1329,400 gr di farina 00,400 gr di farina 00,farina,400 gr,farina,farina,2121
1330,50 gr di borragine,50 gr di borragine,borragine,50 gr,borragine,borragine,9
1331,150 gr di salsa di noci,150 gr di salsa di noci,salsa di noci,150 gr,salsa,noci,222
1332,50 gr di gherigli di noci,50 gr di gherigli di noci,noci,50 gr,noci,noci,222
1333,pecorino,pecorino,pecorino,,pecorino,pecorino,519
1334,500 g di farina 0,500 g di farina 0,farina 0,500 g,farina 0,farina 0,181
1335,un panetto di lievito di birra,un panetto di lievito di birra,lievito di birra,un panetto,lievito di birra,lievito di birra,364
1336,300 g di ricotta,300 g di ricotta,ricotta,300 g,ricotta,ricotta,324
1337,1/2 kg di patate,1/2 kg di patate,patate,1/2 kg,patate,patate,1000
1338,150 gr di formaggio fresco,150 gr di formaggio fresco,formaggio fresco,150 gr,formaggio fresco,formaggio fresco,38
1339,peperoni sotto aceto,peperoni sotto aceto,peperoni sotto aceto,,peperoni,peperoni,612
1340,400 gr di carne tritata di maiale e vitello mista,400 gr di carne tritata di maiale,carne di maiale,400 gr,carne di maiale,carne di suino,202
1341,4 pomodori pelati,4 pomodori pelati,pomodori pelati,4,pomodori pelati,pomodori pelati,196
1342,250 gr di mozzarella,250 gr di mozzarella,mozzarella,250 gr,mozzarella,mozzarella,264
1343,100 gr di parmigiano,100 gr di parmigiano,parmigiano,100 gr,parmigiano,parmigiano reggiano dop,1291
1344,300 g di tagliatelle,300 g di tagliatelle,tagliatelle,300 g,tagliatelle,tagliatelle,37
1345,400 g di fave secche,400 g di fave secche,fave secche,400 g,fave secche,fave secche,9
1346,1  bicchiere di olio extravergine d’oliva,1  bicchiere di olio extravergine d’oliva,,1 bicchiere,,,
1347,1 l d’acqua,1 l d’acqua,acqua,1 l,acqua,acqua,1976
1348,180 g di farina 00,180 g di farina 00,farina,180 g,farina,farina,2121
1349,1/2 bicchierino di rum,1/2 bicchierino di rum,rum,1/2 bicchierino,rum,rum,218
1350,100 ml di latte,100 ml di latte,latte,100 ml,latte,latte,2242
1351,8 foglie di menta,8 foglie di menta,menta,8 foglie,menta,menta,533
1352,8 foglie di melissa,8 foglie di melissa,melissa,8 foglie,melissa,melissa,10
1353,4 foglie di assenzio,4 foglie di assenzio,assenzio,4 foglie,assenzio,assenzio,2
1354,4 foglie di ruta,4 foglie di ruta,ruta,4 foglie,ruta,ruta,2
1355,2 cucchiaini di fiori di camomilla,2 cucchiaini di fiori di camomilla,camomilla,2 cucchiaini,camomilla,camomilla,1
1356,2 cucchiaini di semi di finocchio,2 cucchiaini di semi di finocchio,semi di finocchio,2 cucchiaini,semi di finocchio,semi di finocchio,76
1357,2 cucchiaini di semi di cumino,2 cucchiaini di semi di cumino,cumino,2 cucchiaini,cumino,cumino,79
1358,zucchero semolato,zucchero semolato,zucchero semolato,,zucchero semolato,zucchero,4949
1359,400 gr di pesce spada tagliato in fette sottili,400 gr di pesce spada tagliato,pesce spada,400 gr,pesce spada,pesce spada,66
1360,olio vergine d'oliva,olio vergine d'oliva,olio vergine d'oliva,,olio,olio,2191
1361,"1,5 kg di pesce","1,5 kg di pesce",pesce,"1,5 kg",pesce,pesce,29
1362,anguille,anguille,anguille,,anguille,anguille,9
1363,gronghi,gronghi,gronghi,,gronghi,gronghi,1
1364,boldrò,boldrò,boldrò,,boldrò,boldrò,1
1365,seppie,seppie,seppie,,seppie,seppie,40
1366,pesce prete,pesce prete,pesce prete,,pesce,pesce,29
1367,polpi,polpi,polpi,,polpa di pomodoro,polpo,47
1368,tremole,tremole,tremole,,tremole,tremole,1
1369,1/2 mezza costa di sedano,1/2 mezza costa di sedano,sedano,1/2 mezza costa,sedano,sedano,796
1370,1 pizzico di origano,1 pizzico di origano,origano,1 pizzico,origano,origano,397
1371,pane,pane,pane,,pane,pane,363
1372,8 costolette d’abbacchio,8 costolette d’abbacchio,abbacchio,8,abbacchio,abbacchio,4
1373,500 gr di carne di manzo in fette,500 gr di carne di manzo,carne di manzo,500 gr,carne di manzo,carne di bovino,492
1374,1 kg di salsiccia spessa e non troppo magra,1 kg di salsiccia spessa e,salsiccia spessa,1 kg,salsiccia,salsiccia,225
1375,200 g di estratto di pomodoro,200 g di estratto di pomodoro,pomodoro,200 g,pomodoro,pomodori,634
1376,1 l d'acqua,1 l d'acqua,acqua,1 l,acqua,acqua,1976
1377,800 gr di spinaci,800 gr di spinaci,spinaci,800 gr,spinaci,spinaci,245
