,Ingredient,Pre-NER,NER-Ingredient,NER-Amount,Post-NER,Normalization (by-hand),Def,Freq,,,,,
8738,200 g di mirtilli,200 g di mirtilli,mirtilli,200 g,mirtilli,mirtilli,mirtilli,144,,,,,
8739,1 Petit Suisse,1 petit suisse,petit,1,,,,,,,,,
8740,20 cl di succo di lampone,20 cl di succo di lampone,succo di lampone,20 cl,succo di lampone,succo d'ananas,succo d'ananas,41,,,,,
8741,la buccia di 1 limone,la buccia di 1 limone,limone,1,limone,limone,limone,1394,,,,,
8742,2 cucchiaini di vaniglia,2 cucchiaini di vaniglia,vaniglia,2 cucchiaini,vaniglia,vaniglia,baccello di vaniglia,845,,,,,
8743,1 filetto di tonno fresco (circa 2 kg e 300 g),1 filetto di tonno fresco,filetto di tonno,1,filetto di tonno,filetto di tonno,tonno,101,,,,,
8744,1 kg e 200 g di patate,1 kg e 200 g di patate,patate,1 kg e 200 g,patate,patate,patate,1000,,,,,
8745,4 cucchiai di aghi freschi di rosmarino tritato,4 cucchiai di aghi freschi di rosmarino tritato,aghi di rosmarino,4 cucchiai,rosmarino,rosmarino,rosmarino,850,,,,,
8746,1/2 tazza di salsa di pomodoro,1/2 tazza di salsa di pomodoro,salsa di pomodoro,1/2 tazza,salsa di pomodoro,salsa di pomodoro,salsa di pomodoro,90,,,,,
8747,6 fette di pane tostato,6 fette di pane tostato,pane tostato,6 fette,pane tostato,pane tostato,pane tostato,18,,,,,
8748,500 g di mele renette,500 g di mele renette,mele renette,500 g,mele renette,mele renette,mele renette,32,,,,,
8749,2 prugne secche denocciolate,2 prugne secche denocciolate,prugne secche,2,prugne secche,prugne secche,prugne secche,32,,,,,
8750,1 bicchiere di Calvados + 1/2 bicchierino,1 bicchiere di calvados,calvados,1 bicchiere,calvados,calvados,calvados,8,,,,,
8751,250 g caprino di latte vaccino,250 g caprino di latte vaccino,latte vaccino,250 g caprino,latte vaccino,latte,latte,2242,,,,,
8752,40 g formaggio gratuggiato,40 g formaggio gratuggiato,formaggio gratuggiato,40 g,formaggio gratuggiato,formaggio,formaggio,264,,,,,
8753,15 g maizena,15 g maizena,maizena,15 g,maizena,maizena,maizena,68,,,,,
8754,1 cespo di radicchio rosso lungo,1 cespo di radicchio rosso lungo,radicchio rosso lungo,1 cespo,radicchio rosso lungo,radicchio,radicchio,103,,,,,
8755,250g di Nutella,250g di nutella,nutella,250 g,nutella,nutella,nutella,136,,,,,
8756,300g latte intero,300g latte intero,latte intero,300 g,latte,latte,latte,2242,,,,,
8757,1/2 cucchiaino di farina di carrube,1/2 cucchiaino di farina di carrube,farina di carrube,1/2 cucchiaino,farina di carrube,farina,farina,2121,,,,,
8758,2 pomidoro ramati,2 pomidoro ramati,pomidoro,2,pomidoro,pomidoro,pomodori,634,,,,,
8759,1 cipollotto di Tropea,1 cipollotto di tropea,cipollotto di tropea,1,cipollotto di tropea,cipollotto di tropea,cipolla di tropea,103,,,,,
8760,8 gamberi,8 gamberi,gamberi,8,gamberi,gamberi,gamberi,194,,,,,
8761,50 g di pecorino semistagionato,50 g di pecorino semistagionato,pecorino semistagionato,50 g,pecorino semistagionato,pecorino,pecorino,519,,,,,
8762,15 ciliegie circa,15 ciliegie circa,ciliegie circa,15,ciliegie,ciliegie,ciliegie,86,,,,,
8763,350 g di farina 0 per pizza,350 g di farina 0,farina 0,350 g,farina 0,farina 0,farina 0,181,,,,,
8764,150 g di manitoba,150 g di manitoba,manitoba,150 g,manitoba,manitoba,farina manitoba,233,,,,,
8765,370 g di acqua,370 g di acqua,acqua,370 g,acqua,acqua,acqua,1976,,,,,
8766,15 g di sale,15 g di sale,sale,15 g,sale,sale,sale,9693,,,,,
8767,2 pizzichi di lievito di birra in polvere,2 pizzichi di lievito di birra,lievito di birra,2 pizzichi,lievito di birra,lievito di birra,lievito di birra,364,,,,,
8768,semola di grano duro,semola di grano duro,semola di grano duro,,semola di grano duro,semola di grano duro,semola,144,,,,,
8769,350 g di zucca cotta in forno,350 g di zucca cotta,zucca,350 g,zucca,zucca,zucca,226,,,,,
8770,100 g farina,100 g farina,farina,100 g,farina,farina,farina,2121,,,,,
8771,50 g pecorino stagionato grattugiato,50 g pecorino stagionato grattugiato,pecorino stagionato,50 g,pecorino stagionato,pecorino stagionato,pecorino,519,,,,,
8772,1 fetta di pancetta fresca,1 fetta di pancetta fresca,pancetta fresca,1 fetta,pancetta,pancetta,pancetta,245,,,,,
8773,1 cucchiaio di semi di zucca,1 cucchiaio di semi di zucca,semi di zucca,1 cucchiaio,semi di zucca,semi di zucca,semi di zucca,33,,,,,
8774,Olio extra vergine di oliva,olio extra vergine di oliva,olio extra vergine di oliva,,olio extravergine di oliva,olio extravergine di oliva,olio extravergine d'oliva,4337,,,,,
8775,1 kg di gnocchi di patate,1 kg di gnocchi di patate,gnocchi di patate,1 kg,gnocchi di patate,gnocchi di patate,gnocchi di patate,22,,,,,
8776,un cucchiaio di pepe nero in grani,un cucchiaio di pepe nero,pepe nero,un cucchiaio,pepe nero,pepe nero,pepe,5844,,,,,
8777,un cucchiaio di pepe rosa in grani,un cucchiaio di pepe rosa,pepe rosa,un cucchiaio,pepe rosa,pepe rosa,pepe,5844,,,,,
8778,300 g di farro essiccato,300 g di farro essiccato,farro essiccato,300 g,farro essiccato,farro,farro,31,,,,,
8779,200 g di manzo affumicato,200 g di manzo affumicato,manzo affumicato,200 g,manzo affumicato,manzo,carne di bovino,492,,,,,
8780,1 mela renetta,1 mela renetta,mela renetta,1,mela renetta,mela,mele,204,,,,,
8781,1 cestino di ribes,1 cestino di ribes,di ribes,1 cestino,ribes,ribes,ribes,85,,,,,
8782,1 ciuffetto di erba cipollina,1 ciuffetto di erba cipollina,erba cipollina,1,erba cipollina,erba cipollina,erba cipollina,367,,,,,
8783,1 cucchiaino di pepe verde,1 cucchiaino di pepe verde,pepe verde,1 cucchiaino,pepe verde,pepe verde,pepe,5844,,,,,
8784,500 g di melanzane,500 g di melanzane,melanzane,500 g,melanzane,melanzane,melanzane,295,,,,,
8785,200 g circa di,200 g circa di,,,,,,,,,,,
8786,200 g di marmellata di amarene,200 g di marmellata di amarene,marmellata di amarene,200 g,marmellata di amarene,marmellata,marmellata,46,,,,,
8787,150 g di cedro candito,150 g di cedro candito,cedro candito,150 g,cedro candito,cedro candito,cedro candito,34,,,,,
8788,40 g di cacao,40 g di cacao,cacao,40 g,cacao,cacao,cacao amaro,524,,,,,
8789,1 dl e 1/2 di vermut,1 dl e 1/2 di vermut,vermut,1 dl e 1/2,vermut,vermut,vermouth,14,,,,,
8790,1 l di yogurt,1 l di yogurt,yogurt,1 l,yogurt,yogurt,yogurt,129,,,,,
8791,3 melanzane piccole,3 melanzane piccole,melanzane,3,melanzane,melanzane,melanzane,295,,,,,
8792,1 peperone rosso e 1 verde,1 peperone rosso e 1 verde,peperone rosso,1,peperone rosso,peperone rosso,peperoni,612,,,,,
8793,pepe di Cayenna,pepe di cayenna,pepe di cayenna,,pepe di cayenna,pepe di cayenna,pepe,5844,,,,,
8794,200 g di zucchero semolato extrafine,200 g di zucchero semolato extrafine,zucchero semolato extrafine,200 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
8795,10 g di fecola,10 g di fecola,fecola,10 g,fecola,fecola,fecola di patate,233,,,,,
8796,10 g di aceto di vino bianco,10 g di aceto di vino bianco,aceto di vino bianco,10 g,aceto di vino bianco,aceto di vino bianco,aceto,528,,,,,
8797,1 cucchiaio di Kirsch,1 cucchiaio di kirsch,kirsch,1 cucchiaio,kirsch,kirsch,kirsch,22,,,,,
8798,amarene sciroppate denocciolate qb,amarene sciroppate denocciolate qb,amarene sciroppate,qb,amarene sciroppate,amarene sciroppate,amarene,47,,,,,
8799,500 g di maltagliati,500 g di maltagliati,maltagliati,500 g,maltagliati,maltagliati,maltagliati,8,,,,,
8800,200 g di olive verdi denocciolate,200 g di olive verdi denocciolate,olive verdi,200 g,olive verdi,olive verdi,olive verdi,119,,,,,
8801,200 g di tonno sott' olio,200 g di tonno sott' olio,tonno sott' olio,200 g,tonno sott'olio,tonno sott'olio,tonno sott'olio,121,,,,,
8802,500 g di dadolata di pomodori,500 g di dadolata di pomodori,dadolata di pomodori,500 g,pomodori,pomodori,pomodori,634,,,,,
8803,1 pera William,1 pera william,pera,1,pera,pera,pere,111,,,,,
8804,200 g di confettura di mirtilli senza zucchero aggiunto,200 g di confettura di mirtilli,confettura di mirtilli,200 g,confettura di mirtilli,confettura di mirtilli,confettura di mirtilli,7,,,,,
8805,90 g di olio di riso o di semi,90 g di olio di riso o di semi,olio di riso,90 g,olio di riso,olio di riso,olio di riso,14,,,,,
8806,3-4 cucchiai di succo di mela o di arancia,3-4 cucchiai di succo di mela o di arancia,succo di mela,3 - 4 cucchiai,succo di mela,succo di mela,succo di mela,8,,,,,
8807,600 g di crema di marroni,600 g di crema di marroni,crema di marroni,600 g,crema di marroni,crema di marroni,crema di marroni,6,,,,,
8808,12 piccole meringhe,12 piccole meringhe,piccole meringhe,12,meringhe,meringhe,meringhe,28,,,,,
8809,6 marron glacé,6 marron glacé,marron glacé,6,marron glacè,marron glacè,marron glacè,20,,,,,
8810,200 g di ricotta morbida,200 g di ricotta morbida,ricotta,200 g,ricotta,ricotta,ricotta,324,,,,,
8811,ricotta di pecora,ricotta di pecora,ricotta di pecora,,ricotta di pecora,ricotta di pecora,ricotta di pecora,63,,,,,
8812,composta di mele cotogne,composta di mele cotogne,composta di mele cotogne,,composta di mele cotogne,composta di mele cotogne,composta,5,,,,,
8813,3 fogli di pane carasau,3 fogli di pane carasau,di pane carasau,3 fogli,pane carasau,pane carasau,pane carasau,9,,,,,
8814,1 orata da 1 kg circa già eviscerata,1 orata da 1 kg circa,,,,,,,,,,,
8815,150 g di tagliatelle all'uovo,150 g di tagliatelle all'uovo,tagliatelle all' uovo,150 g,tagliatelle all'uovo,tagliatelle all'uovo,tagliatelle all'uovo,29,,,,,
8816,formaggio grattugiato (grana o pecorino a piacere),formaggio grattugiato,formaggio,,formaggio,formaggio,formaggio,264,,,,,
8817,500 g di spaghettini fini,500 g di spaghettini fini,spaghettini,500 g,spaghettini,spaghettini,spaghetti,201,,,,,
8818,150 g di pangrattato fresco,150 g di pangrattato fresco,pangrattato fresco,150 g,pangrattato fresco,pangrattato,pangrattato,834,,,,,
8819,150-200 g di acciughe sottosale,150-200 g di acciughe sottosale,acciughe sottosale,150 - 200 g,acciughe sotto sale,acciughe sotto sale,acciughe,403,,,,,
8820,1 dl di salsa di pomodoro,1 dl di salsa di pomodoro,salsa di pomodoro,1 dl,salsa di pomodoro,salsa di pomodoro,salsa di pomodoro,90,,,,,
8821,100 g di farina di avena,100 g di farina di avena,farina di avena,100 g,farina di avena,farina,farina,2121,,,,,
8822,1 cucchiaino e 1/2 di lievito,1 cucchiaino e 1/2 di lievito,lievito,1 cucchiaino e 1/2,lievito,lievito,lievito,994,,,,,
8823,125 g di yogurt al naturale,125 g di yogurt al naturale,yogurt al naturale,125 g,yogurt al naturale,yogurt al naturale,yogurt bianco,121,,,,,
8824,scorza di limone qb,scorza di limone qb,scorza di limone,qb,limone,limone,limone,1394,,,,,
8825,miele millefiori qb,miele millefiori qb,miele millefiori,qb,miele millefiori,miele millefiori,miele millefiori,89,,,,,
8826,frutti rossi qb,frutti rossi qb,frutti rossi,qb,frutti rossi,frutti della passione,frutti rossi,10,,,,,
8827,350 g di penne,350 g di penne,penne,350 g,penne,penne,penne,104,,,,,
8828,2 cucchiai di curry,2 cucchiai di curry,curry,2 cucchiai,curry,curry,curry,89,,,,,
8829,2 dl di brodo,2 dl di brodo,brodo,2 dl,brodo,brodo,brodo,215,,,,,
8830,1 cetriolo piccolo e dolce,1 cetriolo piccolo e dolce,cetriolo,1,cetriolo,cetriolo,cetrioli,121,,,,,
8831,800 g di pollo a pezzi,800 g di pollo,pollo,800 g,pollo,pollo,carne di pollo,350,,,,,
8832,1/2 litro di brodo,1/2 litro di brodo,brodo,1/2 litro,brodo,brodo,brodo,215,,,,,
8833,60 g di pistacchi sbucciati,60 g di pistacchi sbucciati,pistacchi,60 g,pistacchi,pistacchi,pistacchi,193,,,,,
8834,100 g circa di pangrattato fresco,100 g circa di pangrattato fresco,pangrattato fresco,100 g,pangrattato fresco,pangrattato,pangrattato,834,,,,,
8835,1-2 cucchiai di capperi,1-2 cucchiai di capperi,capperi,1 - 2 cucchiai,capperi,capperi,capperi,366,,,,,
8836,60 g di succo di limone,60 g di succo di limone,succo di limone,60 g,succo di limone,succo di limone,succo di limone,599,,,,,
8837,60 g di strutto,60 g di strutto,strutto,60 g,strutto,strutto,strutto,134,,,,,
8838,50 g di foglie di basilico,50 g di foglie di basilico,basilico,50 g,basilico,basilico,basilico,944,,,,,
8839,1 dl circa di olio,1 dl circa di olio,olio,1 dl,olio,olio,olio,2191,,,,,
8840,300 g di sedani rigati,300 g di sedani rigati,sedani rigati,300 g,sedani rigati,sedanini rigati,sedanini rigati,12,,,,,
8841,8 pomodori secchi,8 pomodori secchi,pomodori secchi,8,pomodori secchi,pomodori secchi,pomodori secchi,141,,,,,
8842,bacche di mirto,bacche di mirto,bacche di mirto,,bacche di mirto,bacche di mirto,mirto,20,,,,,
8843,4 peperoni,4 peperoni,peperoni,4,peperoni,peperoni,peperoni,612,,,,,
8844,1 kg di sale grosso,1 kg di sale grosso,sale,1 kg,sale,sale,sale,9693,,,,,
8845,4 filetti di pesce persico,4 filetti di pesce persico,filetti di pesce persico,4,filetti di pesce persico,filetti di pesce persico,pesce persico,9,,,,,
8846,coriandolo in polvere,coriandolo,coriandolo,,coriandolo,coriandolo,coriandolo,67,,,,,
8847,30 g di olio + extra per cottura,30 g di olio,olio,30 g,olio,olio,olio,2191,,,,,
8848,30 g di cipolla rossa dolce,30 g di cipolla rossa dolce,cipolla dolce,30 g,cipolla dolce,cipolla dolce,cipolla,1415,,,,,
8849,500 g di riso Carnaroli,500 g di riso carnaroli,riso carnaroli,500 g,riso carnaroli,riso carnaroli,riso carnaroli,233,,,,,
8850,8 seppie,8 seppie,seppie,8,seppie,seppie,seppie,40,,,,,
8851,40-50 g di burro,40-50 g di burro,burro,40 - 50 g,burro,burro,burro,4606,,,,,
8852,1 litro di brodo di pollo bollente,1 litro di brodo di pollo bollente,brodo di pollo,1 litro,brodo di pollo,brodo di pollo,brodo di carne,219,,,,,
8853,3 cucchiai di prezzemolo finemente tritato,3 cucchiai di prezzemolo finemente tritato,prezzemolo,3 cucchiai,prezzemolo,prezzemolo,prezzemolo,1668,,,,,
8854,6 pomodori rossi sodi e maturi,6 pomodori rossi sodi e maturi,pomodori rossi sodi,6,pomodori rossi,pomodori rossi,pomodori,634,,,,,
8855,250 g di polpa di granchio,250 g di polpa di granchio,polpa di granchio,250 g,granchio,granchio,granchio,14,,,,,
8856,25 cl di panna,25 cl di panna,panna,25 cl,panna,panna,panna fresca,1860,,,,,
8857,4 fogli di gelatina,4 fogli di gelatina,di gelatina,4 fogli,gelatina,gelatina,gelatina,429,,,,,
8858,3 foglie di menta,3 foglie di menta,menta,3 foglie,menta,menta,menta,533,,,,,
8859,700 g di ricotta romana,700 g di ricotta romana,ricotta romana,700 g,ricotta romana,ricotta romana,ricotta,324,,,,,
8860,135 g di zucchero a velo,135 g di zucchero,zucchero,135 g,zucchero,zucchero,zucchero,4949,,,,,
8861,4 cucchiai di rum.,4 cucchiai di rum.,rum,4 cucchiai,rum,rum,rum,218,,,,,
8862,6 prugne,6 prugne,prugne,6,prugne,prugne,prugne,37,,,,,
8863,6 fichi secchi,6 fichi secchi,fichi secchi,6,fichi secchi,fichi secchi,fichi secchi,41,,,,,
8864,2 dl d’acqua,2 dl d'acqua,d' acqua,2 dl,acqua,acqua,acqua,1976,,,,,
8865,150 g di pancetta tesa macinata,150 g di pancetta tesa macinata,pancetta macinata,150 g,pancetta macinata,pancetta,pancetta,245,,,,,
8866,250 g di lombo di maiale macinato,250 g di lombo di maiale macinato,lombo di maiale macinato,250 g,lombo di maiale macinato,lombo di maiale,lonza di maiale,60,,,,,
8867,350 g di muscolo di manzo macinato (metà cartella e metà scanello),350 g di muscolo di manzo macinato,muscolo di manzo macinato,350 g,muscolo di manzo macinato,muscolo di manzo macinato,macinato di bovino,51,,,,,
8868,1 bicchiere di latte intero,1 bicchiere di latte intero,latte intero,1 bicchiere,latte,latte,latte,2242,,,,,
8869,400 g circa di passata di pomodoro,400 g circa di passata di pomodoro,passata di pomodoro,400 g,passata di pomodoro,passata di pomodoro,passata di pomodoro,374,,,,,
8870,una confezione di pasta brisée,una confezione di pasta brisée,pasta brisée,una confezione,pasta brisée,pasta brisée,pasta brisè,60,,,,,
8871,60 g di concentrato di pomodoro,60 g di concentrato di pomodoro,concentrato di pomodoro,60 g,concentrato di pomodoro,concentrato di pomodoro,concentrato di pomodoro,192,,,,,
8872,300 g di scalogno,300 g di scalogno,scalogno,300 g,scalogno,scalogno,scalogno,620,,,,,
8873,160 g di pecorino grattugiato,160 g di pecorino grattugiato,pecorino,160 g,pecorino,pecorino,pecorino,519,,,,,
8874,250 g di guanciale a strisce,250 g di guanciale,guanciale,250 g,guanciale,guanciale,guanciale,54,,,,,
8875,1kg di vongole veraci,1kg di vongole veraci,vongole veraci,1 kg,vongole veraci,vongole veraci,vongole,83,,,,,
8876,1 l di brodo di pesce,1 l di brodo di pesce,brodo di pesce,1 l,brodo di pesce,brodo di pesce,brodo di pesce,27,,,,,
8877,230 g di anistelle,230 g di anistelle,anistelle,230 g,anistelle,anistelle,anistelle,1,,,,,
8878,1/2 litro abbondante di brodo,1/2 litro abbondante di brodo,brodo,1/2 litro,brodo,brodo,brodo,215,,,,,
8879,1 scalogno o 1/2 cipolla,1 scalogno o 1/2 cipolla,scalogno,1,scalogno,scalogno,scalogno,620,,,,,
8880,1 fetta di pesce spada alta 6 cm al massimo,1 fetta di pesce spada alta 6 cm al massimo,pesce spada,1 fetta,pesce spada,pesce spada,pesce spada,66,,,,,
8881,800 g di funghi misti surgelati (prataiolo boleto porcini),800 g di funghi misti surgelati,funghi misti surgelati,800 g,funghi misti,funghi misti,funghi misti,13,,,,,
8882,6 cucchiai di besciamella,6 cucchiai di besciamella,besciamella,6 cucchiai,besciamella,besciamella,besciamella,110,,,,,
8883,30 g di parmigiano grattugiato,30 g di parmigiano grattugiato,parmigiano,30 g,parmigiano,parmigiano,parmigiano reggiano dop,1291,,,,,
8884,2 cucchiai di cerfoglio tritato,2 cucchiai di cerfoglio tritato,cerfoglio,2 cucchiai,cerfoglio,cerfoglio,cerfoglio,27,,,,,
8885,1 kg di sarde fresche,1 kg di sarde fresche,sarde,1 kg,sarde,sarde,sarde,32,,,,,
8886,100 g di farina di semola di grano duro,100 g di farina di semola di grano duro,farina di semola di grano duro,100 g,farina di semola di grano duro,farina di semola di grano duro,farina,2121,,,,,
8887,1 litro di olio di arachide,1 litro di olio di arachide,olio di arachide,1 litro,olio di arachide,olio di arachide,olio di arachide,339,,,,,
8888,80 g di groviera,80 g di groviera,groviera,80 g,groviera,groviera,groviera,90,,,,,
8889,1 bustina di funghi secchi,1 bustina di funghi secchi,funghi secchi,1 bustina,funghi secchi,funghi secchi,funghi secchi,48,,,,,
8890,150 g acqua,150 g acqua,acqua,150 g,acqua,acqua,acqua,1976,,,,,
8891,50 g olio,50 g olio,olio,50 g,olio,olio,olio,2191,,,,,
8892,lardo,lardo,lardo,,lardo,lardo,lardo,114,,,,,
8893,2 mazzi di biete,2 mazzi di biete,mazzi biete,2,mazzi biete,mazzi biete,biete,64,,,,,
8894,spinaci,spinaci,spinaci,,spinaci,spinaci,spinaci,245,,,,,
8895,pancetta,pancetta,pancetta,,pancetta,pancetta,pancetta,245,,,,,
8896,aglio fresco,aglio fresco,aglio,,aglio,aglio,aglio,2572,,,,,
8897,150 g Parmigiano Reggiano,150 g parmigiano reggiano,parmigiano reggiano,150 g,parmigiano reggiano,parmigiano reggiano,parmigiano reggiano dop,1291,,,,,
8898,50 g pangrattato,50 g pangrattato,,,,,,,,,,,
8899,"250 g farina ""00"" di grano tenero","250 g farina ""00"" di grano tenero",farina 00 di grano,250 g,farina 00 di grano,farina,farina 00,1803,,,,,
8900,300 g di spaghettini,300 g di spaghettini,spaghettini,300 g,spaghettini,spaghettini,spaghetti,201,,,,,
8901,200 g di piselli,200 g di piselli,piselli,200 g,piselli,piselli,piselli,302,,,,,
8902,1/4 di besciamella,1/4 di besciamella,besciamella,1/4,besciamella,besciamella,besciamella,110,,,,,
8903,la punta di un cucchiaino di cannella noce moscata e zenzero in polvere,la punta di un cucchiaino di cannella noce moscata e zenzero,cannella noce moscata,un cucchiaino,cannella noce moscata,cannella,cannella,499,,,,,
8904,15 cl di caffè,15 cl di caffè,caffè,15 cl,caffè,caffè,caffè,190,,,,,
8905,2 cucchiaini di caffè liofilizzato in polvere,2 cucchiaini di caffè liofilizzato,caffè liofilizzato,2 cucchiaini,caffè liofilizzato,caffè liofilizzato,caffè solubile,42,,,,,
8906,1 confezione di pasta sfoglia surgelata (300 g),1 confezione di pasta sfoglia surgelata,pasta sfoglia,1 confezione,pasta sfoglia,pasta sfoglia,pasta sfoglia,239,,,,,
8907,500 g di scarola,500 g di scarola,scarola,500 g,scarola,scarola,scarola,44,,,,,
8908,100 g di cipolla,100 g di cipolla,cipolla,100 g,cipolla,cipolla,cipolla,1415,,,,,
8909,350 ml di latte,350 ml di latte,latte,350 ml,latte,latte,latte,2242,,,,,
8910,280 g di tagliatelline all'uovo secche,280 g di tagliatelline all'uovo secche,tagliatelline all' uovo secche,280 g,tagliatelline all'uovo secche,tagliatelline all'uovo secche,tagliatelle all'uovo,29,,,,,
8911,150 g di robiola,150 g di robiola,robiola,150 g,robiola,robiola,robiola,98,,,,,
8912,700 g di polpa d'agnello tagliata a dadini,700 g di polpa d'agnello tagliata,polpa d',700 g,,,,,,,,,
8913,3 pani arabi,3 pani arabi,pani arabi,3,pani arabi,panini,pane,363,,,,,
8914,yogurt,yogurt,yogurt,,yogurt,yogurt,yogurt,129,,,,,
8915,paprica semipiccante,paprica semipiccante,paprica semipiccante,,paprica semipiccante,paprica,paprika,272,,,,,
8916,100 g di piselli sgranati,100 g di piselli sgranati,piselli sgranati,100 g,piselli sgranati,piselli sgranati,piselli,302,,,,,
8917,90 g di burro freddo,90 g di burro freddo,burro,90 g,burro,burro,burro,4606,,,,,
8918,1 uovo medio (50 g),1 uovo medio,uovo,1,uovo,uovo,uova,3872,,,,,
8919,10 g di acqua fredda,10 g di acqua fredda,acqua,10 g,acqua,acqua,acqua,1976,,,,,
8920,1 mazzo di agretti,1 mazzo di agretti,agretti,1 mazzo,agretti,agretti,agretti,4,,,,,
8921,olive taggiasche a piacere,olive taggiasche,olive taggiasche,,olive taggiasche,olive taggiasche,olive taggiasche,106,,,,,
8922,1 disco di pasta sfoglia già cotto (diametro 22 cm),1 disco di pasta sfoglia,pasta sfoglia,1 disco,pasta sfoglia,pasta sfoglia,pasta sfoglia,239,,,,,
8923,300 g di nocciole polverizzate,300 g di nocciole polverizzate,nocciole,300 g,nocciole,nocciole,nocciole,164,,,,,
8924,200 g di burro freddo,200 g di burro freddo,burro,200 g,burro,burro,burro,4606,,,,,
8925,1 bicchierino di liquore nocino (in alternativa acqua),1 bicchierino di liquore nocino,liquore nocino,1 bicchierino,liquore nocino,liquore,liquore,38,,,,,
8926,1 vasetto di crema gianduia alla nocciola,1 vasetto di crema gianduia alla nocciola,crema gianduia alla nocciola,1 vasetto,crema gianduia alla nocciola,crema,nutella,136,,,,,
8927,"zabaione (6 tuorli,  10 cucchiai di marsala,  6 cucchiai di zucchero)",zabaione,zabaione,,zabaione,zabaione,zabaione,3,,,,,
8928,nocciole tostate,nocciole tostate,nocciole tostate,,nocciole tostate,nocciole tostate,nocciole tostate,45,,,,,
8929,200 g di strutto o burro,200 g di strutto o burro,strutto,200 g,strutto,strutto,strutto,134,,,,,
8930,400 g di fettine di maiale,400 g di fettine di maiale,maiale,400 g,maiale,maiale,carne di suino,202,,,,,
8931,800 g di passata di pomodoro,800 g di passata di pomodoro,passata di pomodoro,800 g,passata di pomodoro,passata di pomodoro,passata di pomodoro,374,,,,,
8932,1 dl di vino rosso,1 dl di vino rosso,vino rosso,1 dl,vino rosso,vino rosso,vino rosso,219,,,,,
8933,150 g di vitello tritato,150 g di vitello tritato,vitello,150 g,vitello,vitello,carne di bovino,492,,,,,
8934,250 g di penne sottili,250 g di penne sottili,penne,250 g,penne,penne,penne,104,,,,,
8935,150 g di mozzarella a fettine,150 g di mozzarella,mozzarella,150 g,mozzarella,mozzarella,mozzarella,264,,,,,
8936,500 g di farina di grano duro,500 g di farina di grano duro,farina di grano duro,500 g,farina di grano duro,farina di grano duro,farina,2121,,,,,
8937,12 uova,12 uova,uova,12,uova,uova,uova,3872,,,,,
8938,300 g filetto di manzo,300 g filetto di manzo,filetto di manzo,300 g,filetto di manzo,filetto di manzo,carne di bovino,492,,,,,
8939,300g filetto di maiale,300g filetto di maiale,filetto di maiale,300 g,filetto di maiale,filetto di maiale,carne di suino,202,,,,,
8940,2 ossibuchi,2 ossibuchi,ossibuchi,2,ossibuchi,ossibuchi di vitello,ossibuchi,16,,,,,
8941,400 g di fragole,400 g di fragole,fragole,400 g,fragole,fragole,fragole,249,,,,,
8942,8 pomodori maturi,8 pomodori maturi,pomodori,8,pomodori,pomodori,pomodori,634,,,,,
8943,100 g di caprino fresco,100 g di caprino fresco,caprino,100 g,caprino,caprino,caprino,58,,,,,
8944,40 g di burro freddo a pezzetti,40 g di burro freddo,burro,40 g,burro,burro,burro,4606,,,,,
8945,15 olive nere tritate,15 olive nere tritate,olive nere,15,olive nere,olive nere,olive nere,244,,,,,
8946,160 g di mandorle,160 g di mandorle,mandorle,160 g,mandorle,mandorle,mandorle,415,,,,,
8947,1/2 bustina di lievito in polvere,1/2 bustina di lievito,lievito,1/2 bustina,lievito,lievito,lievito,994,,,,,
8948,4 dl di panna fresca,4 dl di panna fresca,panna fresca,4 dl,panna fresca,panna fresca,panna fresca,1860,,,,,
8949,1 ananas baby,1 ananas baby,ananas baby,1,ananas baby,ananas,ananas,78,,,,,
8950,3 kiwi,3 kiwi,kiwi,3,kiwi,kiwi,kiwi,47,,,,,
8951,8 amaretti morbidi,8 amaretti morbidi,amaretti morbidi,8,amaretti morbidi,amaretti,amaretti,104,,,,,
8952,200 g di gherigli di noci,200 g di gherigli di noci,noci,200 g,noci,noci,noci,222,,,,,
8953,1 dl circa di caffè,1 dl circa di caffè,caffè,1 dl,caffè,caffè,caffè,190,,,,,
8954,500 g di polpa di zucca mantovana,500 g di polpa di zucca mantovana,zucca mantovana,500 g,zucca mantovana,zucca mantovana,zucca mantovana,23,,,,,
8955,1 bottiglia di salsa di pomodoro da 700 g,1 bottiglia di salsa di pomodoro da 700 g,salsa di pomodoro,1 bottiglia,salsa di pomodoro,salsa di pomodoro,salsa di pomodoro,90,,,,,
8956,1 ciuffetto di basilico,1 ciuffetto di basilico,basilico,1,basilico,basilico,basilico,944,,,,,
8957,palline di mais al formaggio,palline di mais al formaggio,palline di mais,,mais,mais,mais,31,,,,,
8958,1 filetto di acciuga sott'olio,1 filetto di acciuga sott'olio,filetto di acciuga sott' olio,1,filetto di acciuga sott'olio,filetto di baccalà,acciughe,403,,,,,
8959,4 cucchiai di panna fresca,4 cucchiai di panna fresca,panna fresca,4 cucchiai,panna fresca,panna fresca,panna fresca,1860,,,,,
8960,12 vol au vent medi,12 vol au vent medi,vent,12 vol au,vent,vent,vent,8,,,,,
8961,100 g di porri,100 g di porri,porri,100 g,porri,porri,porri,299,,,,,
8962,1 tazza di brodo,1 tazza di brodo,brodo,1 tazza,brodo,brodo,brodo,215,,,,,
